RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
0,c,0,c,21,7,2221
c,c,0,6,81,c,398
15,c,c,25,140,c,2042
11,c,c,8,78,13,2041
14,c,c,c,133,15,1196
c,c,c,18,72,0,2875
12,c,c,19,173,21,1223
14,c,c,19,285,22,2957
c,c,c,10,73,c,1718
c,11,c,21,196,37,5068
c,14,c,24,70,15,1289
c,c,c,17,105,8,1575
7,0,c,c,82,21,1643
8,c,c,c,113,15,1972
21,c,0,c,19,13,2629
0,c,0,c,28,c,742
c,c,c,c,64,c,743
9,c,0,c,249,29,4207
c,c,0,c,27,9,815
13,c,0,12,c,22,1028
c,6,c,14,99,17,2216
10,c,c,18,21,7,419
50,c,11,12,135,c,2783
29,c,c,17,65,23,686
8,c,c,13,30,10,783
21,c,c,21,83,82,1033
29,c,c,48,66,36,1604
7,c,c,13,29,18,559
35,c,c,11,48,32,2234
9,c,c,21,33,10,902
11,c,c,11,30,6,1504
16,c,0,c,21,c,2476
39,c,c,30,76,13,2087
c,c,c,22,74,18,1546
18,c,0,c,119,13,1468
18,c,c,28,49,12,1861
11,c,0,c,122,c,1180
10,6,0,15,84,13,1335
29,c,c,22,80,10,1412
28,c,c,9,53,25,1944
6,c,7,14,24,c,1151
c,c,0,18,50,6,971
79,c,c,19,224,62,5669
42,c,0,c,116,23,4194
44,14,10,80,125,18,3403
34,c,c,32,92,35,2101
22,11,7,25,112,17,1097
8,c,0,c,59,c,1919
28,11,c,12,85,c,1013
14,8,c,c,56,27,837
20,c,c,14,71,12,1812
17,7,c,23,123,c,1789
6,c,c,10,51,13,1690
27,c,0,28,35,c,787
18,c,c,25,25,14,2437
21,7,8,14,59,21,2311
50,c,c,19,64,13,1807
28,c,c,18,103,29,4130
14,0,c,7,129,c,2766
34,c,c,39,68,c,2216
0,c,0,0,c,c,3059
40,c,10,30,50,c,2866
16,6,c,11,52,c,2428
68,7,11,47,93,6,3058
8,c,c,0,31,9,1741
8,0,c,27,25,c,598
15,8,6,16,93,24,2360
26,c,c,45,116,14,2020
23,6,12,26,68,25,3039
27,c,0,23,95,c,3674
0,c,0,0,c,0,816
26,c,17,c,28,21,1300
0,11,0,0,0,0,5365
30,18,c,30,68,c,1577
9,c,14,c,51,29,2134
35,c,c,30,162,39,2337
56,c,0,36,0,c,4061
37,c,c,12,80,20,3332
0,10,15,c,133,c,3154
c,c,0,c,9,c,144
51,27,c,c,77,62,6325
29,c,0,c,177,22,2800
0,0,0,0,31,0,3627
0,c,0,c,0,15,958
40,c,0,c,363,8,3576
c,c,0,0,9,c,1434
0,c,0,0,19,c,1369
81,6,7,0,138,49,3228
9,c,0,c,22,11,1790
21,c,0,c,69,13,872
29,6,35,31,150,30,1685
25,c,15,34,32,c,2220
40,c,c,23,79,c,2497
37,c,c,8,105,c,1818
27,8,6,7,40,0,649
28,7,8,16,69,17,3648
19,c,c,10,70,16,731
76,13,44,40,212,25,2631
41,c,c,22,175,103,2300
20,9,0,21,50,22,1342
50,c,c,45,115,37,2676
20,7,0,24,111,20,1280
28,c,c,13,68,8,995
30,c,c,16,69,7,3207
12,7,0,13,172,9,917
6,c,0,c,18,c,1163
35,0,0,c,0,c,2896
18,c,0,c,89,35,2127
38,c,c,12,115,49,2388
27,17,10,6,79,6,7775
10,c,0,0,c,0,1097
106,51,14,80,429,131,8833
14,c,c,8,29,8,1628
14,c,c,19,50,27,1179
29,c,c,31,65,29,2518
11,c,c,c,43,25,2294
28,c,c,c,82,38,1040
14,c,c,16,83,12,1321
48,c,c,38,21,c,1686
32,9,c,57,186,55,9788
c,0,0,c,30,14,1054
8,12,c,29,114,c,1886
c,c,0,c,0,0,471
0,c,0,c,18,19,773
c,c,0,15,39,14,508
17,c,0,13,16,c,910
19,c,c,20,53,12,3241
29,6,11,9,86,9,1556
26,c,c,28,79,36,2898
37,9,9,7,109,14,1393
31,c,c,15,135,15,2980
c,0,0,0,c,0,13
20,c,0,c,23,6,922
21,6,0,c,37,c,1840
12,0,c,c,14,7,1140
20,c,0,18,31,c,3014
6,c,c,13,37,14,739
c,0,0,27,45,c,2930
c,c,0,0,0,0,1301
23,13,0,10,80,46,2461
c,c,c,17,74,18,1009
0,0,0,0,13,0,39
12,7,0,21,174,21,1877
0,c,0,0,24,0,699
11,c,c,11,189,c,2047
12,c,c,22,70,6,1834
c,c,0,6,76,7,1295
11,c,c,12,74,c,931
c,c,0,8,155,36,2558
14,12,c,42,279,c,2566
15,c,c,30,154,25,1165
6,0,0,c,113,c,3671
12,0,0,27,c,0,2507
0,c,c,c,101,c,1436
16,c,c,32,123,8,2249
c,c,0,15,106,15,2406
14,c,c,9,82,18,1119
c,c,0,7,99,0,2761
16,c,c,16,189,22,1059
19,c,c,24,356,27,5030
c,c,0,9,56,6,2263
c,6,c,20,222,36,3677
10,c,c,22,53,25,1145
6,0,c,13,86,c,1382
0,c,0,0,c,0,1023
10,c,c,0,119,33,1896
c,c,0,c,27,9,2683
c,c,0,c,36,9,466
c,0,0,c,41,0,556
c,c,c,8,274,35,3452
c,0,0,c,37,7,580
